[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  max('Total Ventas Generales') nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total 
          FROM newconsol3_2 con
          where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2'
[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  concat( max(E.Nombre),' ',MAX(D.abreviatura)) nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total,con.tipo  
            FROM newconsol3_2 con 
            inner join Divisiones E ON con.tipo =E.id
            inner join MDocumentos D ON con.doc= D.codtipodoc 
            where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2' group by con.tipo,con.doc order by con.tipo
[2018-10-23 08:07:48.000000 192.130.75.223  - [query->JOLALDE] ] Select  max(concat('Total US$ ',' ',E.Nombre)) nombre,sum(con.subtotal) subtotal,sum(con.descuento) descuento, sum(con.subtotal) - sum(con.descuento) neto, sum(con.TotImpuesto) TotImpuesto,sum(con.monto_flete) envio , sum(general) total,con.tipo  
          FROM newconsol3_2 con 
          inner join  Divisiones E ON con.tipo =E.id
          inner join MDocumentos D ON con.doc= D.codtipodoc 
          where con.fechafac between '10-01-2018' and '10-23-2018' and statfact <>'2' group by con.tipo order by con.tipo
[2018-10-23 08:07:49.000000 192.130.75.223  - [query->JOLALDE] ] SELECT  cod_subgrupo, monto  from View_GrupoConsultas where fechafac between  '10-01-2018' and '10-23-2018' and cod_subgrupo='CONSULTA' 
[2018-10-23 08:07:49.000000 192.130.75.223  - [query->JOLALDE] ] SELECT max('Laser Aplicados ')  tit , sum(d.cantidad) laser from MSSMFact m inner join MSSDFact d ON m.numfactu=d.numfactu where m.statfact<>'2' and m.fechafac between '10-01-2018' and '10-23-2018' and d.coditems like 'TD%' 
[2018-10-23 08:07:50.000000 192.130.75.223  - [query->JOLALDE] ] SELECT  cod_subgrupo, monto  from View_GrupoConsultas where fechafac between  '10-01-2018' and '10-23-2018' and cod_subgrupo='SUEROTERAPIA' 
[2018-10-23 08:07:50.000000 192.130.75.223  - [query->JOLALDE] ] SELECT max('Laser Intra. Vendidos ')  tit , sum(d.cantidad) laser from MSSMFact m inner join MSSDFact d ON m.numfactu=d.numfactu where m.statfact<>'2' and (m.fechafac between '10-01-2018' and '10-23-2018') and d.coditems like 'LI%' 
[2018-10-23 13:19:39.000000 192.130.74.2  - [query->log-in] ] Select * from loginpass WHERE login = 'LA' and passwork ='2906' 
[2018-10-23 13:19:39.000000 192.130.74.2  - [query->log-in] ] Select * from Vestaciones WHERE usuario = 'LA' 
[2018-10-23 13:19:46.000000 192.130.74.2  - [query->LA] ] Select codmedico,(nombre+' ' +apellido) as medico from mmedicos where activo='1'
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112686'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112599'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111141'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112801'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='110014'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='36076'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112837'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='76586'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='52873'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='90553'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111782'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='87331'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112158'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112660'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='106440'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='65816'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112653'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='40770'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='101889'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='34790'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112225'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='16900'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='105259'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='79703'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112875'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112282'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='45476'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112412'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112383'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='75658'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112083'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:48.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='110233'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112868'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='97357'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112740'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='24416'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112684'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112797'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112082'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112084'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='100773'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112671'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='110211'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='103185'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='30981'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112303'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='99455'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='75929'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112613'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112803'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112726'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='45002'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='110044'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112845'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='109176'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='51778'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111637'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='101162'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112791'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111548'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112697'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112584'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112616'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='99442'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112233'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='80812'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112635'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='111928'and codconsulta <>'07' and ASISTIDOS is null
[2018-10-23 13:19:49.000000 192.130.74.2  - [query->LA] ] select convert(varchar(10), cast(fecha_cita as date), 101)  fecha_cita from VIEW_mconsultas_02 where codclien='112769'and codconsulta <>'07' and ASISTIDOS is null
